Model,AUC-ROC,Avg Precision,Threshold,F1 (weighted),F1 (severe=1),Recall (severe),Prec. (severe),Fit time (s)
Tuned Ensemble,0.8054,0.6255,0.54,0.7628,0.586,0.6512,0.5327,0.0
XGBoost Tuned (GPU),0.8036,0.6249,0.51,0.7544,0.5843,0.6751,0.515,3.9
CatBoost Tuned (GPU),0.8035,0.6186,0.53,0.7575,0.5835,0.6618,0.5217,12.4
